seed,avgBaseline,avgSenars,ratio
0,11.7600,6.3200,0.5374
1,7.2400,12.2000,1.6851
2,15.8600,16.0800,1.0139
3,9.7400,9.3200,0.9569
4,14.8400,14.5600,0.9811
