seed,avgBaseline,avgSenars,ratio
0,15.8200,12.3200,0.7788
1,15.2600,14.5800,0.9554
2,15.2200,14.0800,0.9251
3,15.8400,14.6400,0.9242
4,15.1600,8.7800,0.5792
